ln_R,ln_I
3.485865116,5.392757893
3.720102787,5.861064434
3.547414303,6.186743259
4.144104958,7.952184677
3.462591648,5.889215946
3.545514345,5.666070461
3.345141888,5.869754314
3.565858364,6.477432728
3.494572401,6.111685753
3.567364931,6.282527447
3.690712452,6.615264893
3.482958317,6.349857807
3.871367455,6.856854916
3.457223892,5.694971561
3.39828825,5.698099136
3.47488904,6.259994984
3.457594395,5.627790928
3.387385368,5.686943531
3.633496284,6.237114429
3.702101231,6.441904545
3.492954493,6.098506451
3.854547262,7.135396957
3.575456381,5.885303497
3.460026741,5.644622803
3.51865387,5.84232378
3.480980873,6.055869102
3.453196764,5.805265903
3.395810127,5.717309952
3.416779518,6.406452656
3.577774525,6.583031654
3.307508469,5.092411041
3.586444855,5.524120808
3.60558033,6.081222057
3.276541233,5.653774738
3.49365449,5.752462864
3.640880108,6.159648418
3.654466152,6.063456059
3.478688955,6.04769659
3.517747164,5.833603382
3.50884819,5.962473392
3.983277082,7.187855244
3.550491095,6.162434101
3.298014641,5.478851795
3.707593918,6.30742836
3.575816154,6.271398544
3.66174531,6.322265625
3.714547396,6.376588345
3.254659653,5.809657097
3.566807985,4.688201427
3.405276299,6.040193081
3.502525568,5.893419743
3.310475349,5.415442467
3.517943382,5.804357052
3.450981855,6.316362381
3.455375195,5.899802208
3.443828583,6.28025341
3.283176661,5.804716587
3.196095467,5.572516918
4.053486824,7.769626141
3.200014591,5.508896828
3.382153273,5.703299522
3.616694689,6.231870651
3.555737734,5.604369164
3.30276227,5.872272491
3.472883701,5.701915264
3.510127544,5.988740444
3.59965682,6.111036301
3.517374039,5.687825203
3.336803198,5.517361164
3.303872824,5.606746197
3.55229044,6.12198782
3.503995419,5.798325539
3.221385717,5.767656803
3.677998543,6.410765648
3.09932065,4.31288147
3.447453976,6.137584209
3.441840887,5.993928432
3.555513859,5.988804817
3.581414938,5.936134338
3.301210165,5.802951813
3.550958633,6.393261909
3.455515623,6.103234768
3.54690218,6.387692451
3.544813633,5.951774597
3.42647934,5.961450577
3.538546085,6.179986954
3.644559622,6.047328472
3.29703784,5.61184597
3.574975491,5.900644302
3.39699626,5.973303795
3.776639223,5.999890804
