ln_R,ln_I
4.179671764,5.380352497
4.234323502,5.114192009
6.051553249,7.504377842
5.745878696,7.074951172
6.162938595,7.249674797
4.24991703,5.365948677
4.660604477,4.94639492
5.841983318,7.441112041
4.644072056,5.643129349
5.736338615,6.875385761
4.261454582,5.501696587
3.914719343,5.203819275
5.245844364,6.815395355
4.496675014,5.189701557
6.15584898,7.179210663
5.543186188,7.039849281
5.478691101,6.912140846
4.629229546,5.860381603
5.45029974,7.445939064
5.191057205,7.366392136
4.937953949,5.358310223
4.455501556,5.451493263
4.536561489,5.438491344
4.198221207,5.581686974
6.16852808,7.34487915
5.210007668,5.094781399
5.774765491,7.507742882
4.348837852,5.666656017
4.136917591,4.928917408
4.327903271,5.17297554
4.860423565,5.141727448
6.108343601,7.407129765
4.496102333,5.30364418
4.453802586,4.922679424
6.650519371,7.5746665
5.741257191,7.199875355
6.16283083,7.210093021
5.962620735,6.901583195
5.747876644,6.753946304
5.624390125,7.02173996
4.082915306,5.238050938
4.577503204,5.193299294
4.173012257,5.876468182
5.858067989,6.893408298
4.111370564,5.166446686
6.186388016,7.359752655
6.042484283,6.878465652
6.294651031,7.294992447
5.558135509,6.764785767
4.479382992,4.454320431
4.164374828,5.591176987
4.435469151,4.698336124
4.503777504,5.21647644
6.241895199,7.129064083
6.187983513,7.293988228
5.474671364,6.775898933
4.071055889,5.437414169
5.688101768,7.166579723
5.149681568,6.359071732
4.096038342,5.106013775
5.854799747,6.979792595
5.762317657,6.92963171
6.240318298,7.518679619
6.314016342,7.549027443
5.860978603,6.985920429
4.340166569,5.831691265
4.27458334,5.524625778
4.210133076,5.072433472
4.584869385,5.71215868
3.963288546,5.407412052
5.593628407,6.814616203
4.449362278,5.508441448
6.053245544,7.00339222
4.187910557,5.256222248
5.356770515,6.557208538
4.956082344,6.366517544
5.65118885,6.74461937
5.02799511,5.432968616
5.805260658,6.835992336
4.257920742,5.238308907
3.875387669,5.125046253
5.824036598,7.025706768
6.058796883,7.501534462
6.47558403,7.45663929
4.228636265,5.779645443
5.722394466,6.718968391
4.15477562,5.156064987
6.135982513,7.387134075
4.670822144,5.535496712
5.887982368,7.32098484
4.632915974,5.378069401
5.528669357,6.998291969
5.547679424,5.994194984
5.671552181,6.345887661
5.925704956,6.978480339
5.4116745,6.229701042
5.981887341,7.097895145
4.289891243,5.213546276
6.065253258,7.386463165
4.0979743,5.585640907
5.973975658,7.108710766
4.430251598,4.701502323
5.946428776,7.09349966
5.826249599,6.848781109
4.333322048,5.812252522
6.303775311,7.038897514
3.830886364,4.995931625
5.694781303,6.509965897
6.087627411,6.529988289
6.128674507,6.406457424
5.963500977,6.53234911
5.942119122,6.124570847
4.350296021,4.643336296
5.606975079,6.306747913
6.120372295,6.700896263
4.565748692,4.937953949
6.042052269,6.843523026
6.059661388,6.503222466
5.841410637,6.741099834
6.253983974,6.997220039
4.892566204,5.172149658
5.899757385,6.56253767
4.901160717,5.263849258
5.475460052,6.116108418
4.475103378,5.331370831
5.983612537,6.941501617
5.926121712,6.448956013
5.910144329,6.935675144
4.454595566,5.061666965
6.098257065,7.181383133
6.00220108,6.69096899
4.985683441,5.90329504
5.746345997,5.955772877
5.952049255,6.705017567
6.056118965,6.732319355
5.729150772,6.050693512
6.135077,7.065047741
4.712621212,5.849823952
6.228059769,7.057920456
5.785981178,6.573983192
4.832605839,4.530273914
6.021518707,6.471020699
6.184677601,6.957691193
5.697936058,6.987233639
4.772585392,4.897942066
4.202716351,5.209766388
6.068236351,6.817321777
6.275239944,6.802997112
5.518068314,6.007737637
5.676224232,6.825409889
5.878837109,6.137274742
5.676504612,6.150395393
6.006576061,6.643616199
6.007221222,6.491456032
5.93561697,6.480683327
4.751135826,5.01388979
4.439816952,5.119028091
5.709244251,6.695855618
6.188986301,6.526390076
6.200983047,4.909901142
5.500575542,5.8713727
6.241017342,6.163290024
5.371380329,5.228252411
4.207566261,5.11479187
4.721783638,5.333932877
4.928879261,5.504541397
5.976291656,5.573503971
6.351975918,6.947076797
6.119904041,6.246874809
6.10711813,6.61915493
4.454858303,4.877895832
6.419086933,6.989211559
6.193741322,6.579698563
6.280378819,6.639967918
5.636128426,6.398275852
6.368573666,6.965054035
5.215178967,5.202033043
6.257433891,6.544155598
5.608187675,6.335370541
5.84616375,6.56016016
5.339187145,5.731619358
4.693695068,4.860260963
6.558888912,6.382145405
4.323577404,5.130110264
6.284993172,6.467916012
4.893697739,4.881490231
6.059501648,6.608873367
5.697413445,6.418511868
4.203519344,5.111139297
5.057078838,4.924080849
5.995475292,6.606916428
4.238768578,5.068136692
6.087536335,6.872990131
4.246336937,5.242016792
5.072552681,6.250673294
6.152457714,6.884831429
4.124752045,5.150161743
